penalty_set,session_id,adversarial,final_trust,mfa_triggers,restrict_hits,block_hits
"Set B (α=0.06, baseline)",146,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",147,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",148,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",149,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",150,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",151,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",152,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",153,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",154,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",155,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",156,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",157,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",158,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",159,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",160,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",161,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",162,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",163,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",164,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",165,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",166,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",167,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",168,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",169,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",170,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",171,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",172,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",173,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",174,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",175,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",176,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",177,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",178,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",179,FALSE,0.98,0,0,0
"Set B (α=0.06, baseline)",180,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",181,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",182,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",183,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",184,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",185,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",186,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",187,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",188,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",189,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",190,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",191,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",192,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",193,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",194,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",195,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",196,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",197,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",198,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",199,FALSE,1,0,0,0
Set C (α=0.10),0,TRUE,0,10,10,9
Set C (α=0.10),1,TRUE,0.38,16,16,0
Set C (α=0.10),2,TRUE,0,6,6,8
Set C (α=0.10),3,TRUE,0.51,6,6,0
Set C (α=0.10),4,TRUE,0,5,5,13
Set C (α=0.10),5,TRUE,0.28,13,13,3
Set C (α=0.10),6,TRUE,0.01,7,7,10
Set C (α=0.10),7,TRUE,0.32,7,7,4
Set C (α=0.10),8,TRUE,0.44,16,16,3
Set C (α=0.10),9,TRUE,0.3,10,10,7
Set C (α=0.10),10,TRUE,0.1,3,3,8
Set C (α=0.10),11,TRUE,0.31,10,10,1
Set C (α=0.10),12,TRUE,0.27,10,10,4
Set C (α=0.10),13,TRUE,0.01,11,11,8
Set C (α=0.10),14,TRUE,0.06,8,8,9
Set C (α=0.10),15,TRUE,0.73,6,6,0
Set C (α=0.10),16,TRUE,0.63,10,10,0
Set C (α=0.10),17,TRUE,0.49,9,9,0
Set C (α=0.10),18,TRUE,0.04,8,8,6
Set C (α=0.10),19,TRUE,0.06,5,5,6
Set C (α=0.10),20,TRUE,0.2,10,10,2
Set C (α=0.10),21,TRUE,0,8,8,12
Set C (α=0.10),22,TRUE,0.59,7,7,0
Set C (α=0.10),23,TRUE,0.7,0,0,0
Set C (α=0.10),24,TRUE,0.76,0,0,0
Set C (α=0.10),25,TRUE,0.46,7,7,0
Set C (α=0.10),26,TRUE,0.04,8,8,8
Set C (α=0.10),27,TRUE,0.12,12,12,6
Set C (α=0.10),28,TRUE,0.16,10,10,10
Set C (α=0.10),29,TRUE,0.23,17,17,1
Set C (α=0.10),30,TRUE,0.57,4,4,0
Set C (α=0.10),31,TRUE,0.43,17,17,1
Set C (α=0.10),32,TRUE,0.44,15,15,0
Set C (α=0.10),33,TRUE,0.3,11,11,1
Set C (α=0.10),34,TRUE,0.33,15,15,0
Set C (α=0.10),35,TRUE,0.35,6,6,0
Set C (α=0.10),36,TRUE,0.91,7,7,0
Set C (α=0.10),37,TRUE,0.5,7,7,0
Set C (α=0.10),38,TRUE,0.32,18,18,0
Set C (α=0.10),39,TRUE,0.4,14,14,2
Set C (α=0.10),40,TRUE,0.67,0,0,0
Set C (α=0.10),41,TRUE,0.02,4,4,15
Set C (α=0.10),42,TRUE,0.26,4,4,10
Set C (α=0.10),43,TRUE,0,9,9,8
Set C (α=0.10),44,TRUE,0,6,6,11
Set C (α=0.10),45,TRUE,0.39,18,18,0
Set C (α=0.10),46,TRUE,0.15,7,7,11
Set C (α=0.10),47,TRUE,0.15,11,11,8
Set C (α=0.10),48,TRUE,0.19,7,7,8
Set C (α=0.10),49,TRUE,0.09,10,10,5
Set C (α=0.10),50,TRUE,0.28,10,10,2
Set C (α=0.10),51,TRUE,0.1,5,5,12
Set C (α=0.10),52,TRUE,0,12,12,7
Set C (α=0.10),53,TRUE,0.09,9,9,10
Set C (α=0.10),54,TRUE,0.42,8,8,0
Set C (α=0.10),55,TRUE,0,5,5,15
Set C (α=0.10),56,TRUE,0.18,8,8,4
Set C (α=0.10),57,TRUE,0,8,8,12
Set C (α=0.10),58,TRUE,0.26,8,8,1
Set C (α=0.10),59,TRUE,0.14,12,12,4
Set C (α=0.10),60,TRUE,0.7,0,0,0
Set C (α=0.10),61,TRUE,0.43,13,13,1
Set C (α=0.10),62,TRUE,0.22,9,9,7
Set C (α=0.10),63,TRUE,0,5,5,13
Set C (α=0.10),64,TRUE,0,6,6,12
Set C (α=0.10),65,TRUE,0.29,4,4,6
Set C (α=0.10),66,TRUE,0.23,10,10,8
Set C (α=0.10),67,TRUE,0.95,2,2,0
Set C (α=0.10),68,TRUE,0,9,9,10
Set C (α=0.10),69,TRUE,0.93,0,0,0
Set C (α=0.10),70,FALSE,1,0,0,0
Set C (α=0.10),71,FALSE,1,0,0,0
Set C (α=0.10),72,FALSE,1,0,0,0
Set C (α=0.10),73,FALSE,1,0,0,0
Set C (α=0.10),74,FALSE,1,0,0,0
Set C (α=0.10),75,FALSE,1,0,0,0
Set C (α=0.10),76,FALSE,1,0,0,0
Set C (α=0.10),77,FALSE,1,0,0,0
Set C (α=0.10),78,FALSE,1,0,0,0
Set C (α=0.10),79,FALSE,1,0,0,0
Set C (α=0.10),80,FALSE,1,0,0,0
Set C (α=0.10),81,FALSE,1,0,0,0
Set C (α=0.10),82,FALSE,1,0,0,0
Set C (α=0.10),83,FALSE,1,0,0,0
Set C (α=0.10),84,FALSE,1,0,0,0
Set C (α=0.10),85,FALSE,1,0,0,0
Set C (α=0.10),86,FALSE,1,0,0,0
Set C (α=0.10),87,FALSE,1,0,0,0
